Application Reference,Address,Summary,Status
2013/0035/ASSETC,"Car Park Broadwell, Water Street, Dursley, Gloucestershire,",Water Street Car Park - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0034/ASSETC,"Old Spot Inn 2 Hill Road, Dursley, Gloucestershire, GL11 4JQ",Old Spot Inn - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0033/ASSETC,"Jacobs House Castle Street, Dursley, Gloucestershire, GL11 4BS",Jacobs House & Heritage Centre - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0032/ASSETC,"Kingshill House Kingshill Lane, Dursley, Gloucestershire, GL11 4BZ","Kingshill House, Dursley - Nomination for inclusion on the register for Assets of Community Value",Application Approved
2013/0031/ASSETC,"New Inn 82 - 84 Woodmancote, Dursley, Gloucestershire, GL11 4AJ","The New Inn, Dursley - Nomination for inclusion on the register of Assets of Community Value",Application Withdrawn
2013/0030/ASSETC,"Lister Hall 34 - 36 Long Street, Dursley, Gloucestershire, GL11 4JB","Chantry Centre and Lister Hall, Dursley - Nomination for inclusion on the register of Assets of Community Value",Application Approved
2013/0029/ASSETC,"Dursley Community Centre Rednock Drive, Dursley, Gloucestershire, GL11 4BX",Dursley Community Centre - Nomination for inclusion on the register of Assets of Community Value,Application Refused
2013/0028/ASSETC,"Police Station Kingshill Road, Dursley, Gloucestershire, GL11 5QE",Dursley Police Station and Old Magistrates Court - Nomination for inclusion on the register of Assets of Community Value,Application Withdrawn
2013/0027/ASSETC,"Dursley Library May Lane, Dursley, Gloucestershire, GL11 4JH",Dursley Library - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0026/ASSETC,"Bus Station May Lane, Dursley, Gloucestershire,",Dursley Bus Station - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0025/ASSETC,"Dursley Pool And Sports Centre Castle Street, Dursley, Gloucestershire, GL11 4BS",Dursley Pool and Sports Centre and Car Park - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0024/ASSETC,"Play Area Rangers Avenue, Dursley, Gloucestershire,",Cambridge Avenue Play Park - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0023/ASSETC,"Land At Castle Street, Dursley, Gloucestershire,",Castle Street/Parsonage Street Car Park Dursley - Included to the register of Assets of Community Value on 22/08/2014 - - DISPOSAL - Notice under Section 95(2) issued on 27th November 2014 - Moratorium period for intention to bid is 08th January 2015. -- Notice of intention to bid received on 17th December 2014 -- Moratorium period for the submission of a formal bid is 27th May 2015.,Register intentions to bid
2013/0020/ASSETC,"Fromebanks Dr Newtons Way, Stroud, Gloucestershire,",South side of Frome Bank nature reserve - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0019/ASSETC,"Fields Between Tabernacle Walk And Gastrells School Kingscourt Lane, Stroud, Gloucestershire,","Fields between Tabernacle Walk & Gastrells School. Fields bounded by Tabernacle Walk, The Common & Kingscourt Lane - Nomination for inclusion on the register of Assets of Community Value",Application Withdrawn
2013/0018/ASSETC,"Cycle Track From Sainsburys To Nailsworth Dudbridge, Stroud, Gloucestershire,","Cycle Track, Sainsburys to Nailsworth - Nomination for inclusion on the register of Assets of Community Value - This land is considered to be operational land and therefore cannot be designated as an Asset of Community Value",Application Refused
2013/0017/ASSETC,"Rodborough Field Arundel Drive, Rodborough, Stroud, Gloucestershire,","Land between River Frome, Wallbridge, Rodborough Avenue, Kings Road, Arundel Drive, Woodhouse Drive, Butterrow West, Rodborough Lane and Butterrow Hill - Nomination for inclusion on the register of Assets of Community Value",Application Withdrawn
2013/0016/ASSETC,"Lightpill Allotments Ash Road, Lightpill, Stroud, Gloucestershire,",Lightpill Allotments - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0015/ASSETC,"Rodborough Endowed School Church Place, Rodborough, Stroud, Gloucestershire,",The Old Endowed School - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0014/ASSETC,"Cycle Track, Dudbridge To Stroud Dudbridge Hill, Stroud, Gloucestershire, GL5 3HS",Dudbridge Cycle Track and Surrounds - Nomination for inclusion on the register of Assets of Community Value,Application Refused
2013/0013/ASSETC,"Stroud Rugby Club Dudbridge Hill, Stroud, Gloucestershire, GL5 3HS",Stroud Rugby Club - Nomination for inclusion on the register of Assets of Community Value,Application Withdrawn
2013/0012/ASSETC,"Bownham Park School Bownham Mead, Rodborough Common, Stroud, Gloucestershire, GL5 5DA",Bownham Park School - Nomination for inclusion on the register of Assets of Community Value,Application Refused
2013/0011/ASSETC,"Gastrells Community Primary School Kingscourt Lane, Stroud, Gloucestershire, GL5 3PS",Gastrells Primary School Playing Field - Nomination for inclusion on the register of Assets of Community Value,Application Withdrawn
2013/0010/ASSETC,"Prince Albert Inn Rodborough Hill, Stroud, Gloucestershire, GL5 3SS",Prince Albert Inn - Nomination for inclusion on the register of Assets of Community Value,Application Withdrawn
2013/0009/ASSETC,"Allotments Butterrow West, Stroud, Gloucestershire,",Glebe Allotment between Rodborough Playing Field and Hill View - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0008/ASSETC,"Fields Between Walkley Hill And Tabernacle Pitch Rodborough Walkley Hill, Stroud, Gloucestershire,","Pasture fields bounded by Walkley Hill, Tabernacle Walk & Kingscourt Lane - Nomination for inclusion on the register of Assets of Community Value",Application Refused
2013/0007/ASSETC,"Rodborough Scout And Activity Field Kingscourt Lane, Stroud, Gloucestershire,",Rodborough Scout & Activity Field - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0006/ASSETC,"Rodborough Tabernacle Tabernacle Walk, Rodborough, Stroud, Gloucestershire,",Rodborough Tabernacle URC Buildings (Main Building & Little Chapel) - Nomination for inclusion on the register of Assets of Community Value,Application Approved
2013/0005/ASSETC,"The Red Lion Inn High Street, Arlingham, Gloucester, Gloucestershire, GL2 7JH",Nomination of The Red Lion as an asset of community value.,Application Withdrawn
2013/0004/ASSETC,"The Full Moon Mount Pleasant, Wotton-Under-Edge, Gloucestershire, GL12 7JS",Nomination of Full Moon Public House as an asset of community value.- DISPOSAL - Notice under Section 95(2) issued on 10 June 2013 - Moratorium period for intention to bid is 22 July 2013 - Full moratorium period will be 10 December 2013. On 15 July 2013 Synwell Community Action Group gave notice of intention to Bid. Full moritorium to 10 December 2013 is in place. Comminity Bid not accepted on 10-12-13 and as such the protected period is in force. 17/7/17 ACV removed following demolition of pub,Register intentions to bid
2013/0003/ASSETC,"The Bell And Castle Public House The Street, Horsley, Stroud, Gloucestershire, GL6 0PR",The Bell and Castle Public House - Nomination for inclusion on the register of Assets of Community Value - Site up for sale but moratorium not triggered. Boundary amended 25/02/14.,Application Approved
2013/0002/ASSETC,"Site Of The Former Ship Inn Bristol Road, Stonehouse, Gloucestershire,",Community right to bid on the site formally the Ship Inn,Application Refused
2013/0001/ASSETC,"Fromebanks Dr Newtons Way, Stroud, Gloucestershire,",Fromebanks - Nomination for inclusion on the register of Assets of Community Value,Application Approved
